GESHIP,BUY,8522730
KDDL,BUY,17
NESCO,BUY,760870
SBICARD,BUY,1000
GPPL,BUY,212788350
CYIENT,BUY,549492
BRITANNIA,BUY,24
LAURUSLABS,BUY,166375
TANLA,BUY,235567
JKLAKSHMI,BUY,43352
VISAKAIND,BUY,3216442
PVR,BUY,756
TRIDENT,BUY,9825000
ASHIANA,BUY,6590284
INDUSINDBK,BUY,10372420
SHK,BUY,3907200
HDFC,BUY,0
ADANIPORTS,BUY,4145400
LUPIN,BUY,546
INFY,BUY,0
MOKSH,BUY,101760
RPPL,BUY,121680
FSL,BUY,13266098
GAEL,BUY,869
JSL,BUY,112050
ABCAPITAL,BUY,0
SUPREMEIND,BUY,7581364
CONFIPET,BUY,396328
ASTRON,BUY,16559999
LAGNAM,BUY,3690
GOLDIAM,BUY,919800
NCC,BUY,106579109
BAJAJ-AUTO,BUY,8950
TFCILTD,BUY,26160940
CAMLINFINE,BUY,364972
HINDCON,BUY,18080
JKTYRE,BUY,334379
BAJFINANCE,BUY,0
PRAKASH,BUY,123495
GODREJIND,BUY,3389329
MANGLMCEM,BUY,3431799
AARTIDRUGS,BUY,333068
IIFL,BUY,5724940
TCS,BUY,0
AUBANK,BUY,0
CHOLAFIN,BUY,100
APOLLOTYRE,BUY,2411453
THYROCARE,BUY,29849
TARACHAND,BUY,22100
MAHINDCIE,BUY,376211465
PPL,BUY,11000
CHAMBLFERT,BUY,1679344
GEOJITFSL,BUY,2100
JSWSTEEL,BUY,3935526
JAMNAAUTO,BUY,60272663
MANGCHEFER,BUY,3376104
E2E,BUY,437200
CHEMBOND,BUY,162554
ULTRACEMCO,BUY,0
QUESS,BUY,7291557
FILATEX,BUY,909734
SOLARA,BUY,4304
SYMPHONY,BUY,0
BOMDYEING,BUY,33620
KMSUGAR,BUY,436523
AJOONI,BUY,170240
AARTIIND,BUY,41
GLOBUSSPR,BUY,43659
SUBEX,BUY,987500
MRO-TEK,BUY,81313
CAPTRUST,BUY,1123164
APOLLOPIPE,BUY,2621000
PSPPROJECT,BUY,3334300
WHEELS,BUY,1099960
LAXMIMACH,BUY,113787
ASAHISONG,BUY,2400
WONDERLA,BUY,917315
SUVENPHAR,BUY,1000
ALKYLAMINE,SELL,null
EICHERMOT,SELL,null
SRIPIPES,SELL,null
IBREALEST,SELL,null
AUROPHARMA,SELL,null
PVR,SELL,756
VAIBHAVGBL,SELL,null
INDUSINDBK,SELL,10372420
SEQUENT,SELL,null
LUPIN,SELL,546
VBL,SELL,null
LTTS,SELL,null
SUPREMEIND,SELL,7581364
ICICIPRULI,SELL,null
KEI,SELL,null
NCC,SELL,106579109
BAJFINANCE,SELL,0
ASTEC,SELL,null
METROPOLIS,SELL,null
L&TFH,SELL,null
RELIANCE,SELL,null
GODREJIND,SELL,3389329
VGUARD,SELL,null
ICICIBANK,SELL,null
DRREDDY,SELL,null
POLYCAB,SELL,null
CRISIL,SELL,null
5PAISA,SELL,null
JMFINANCIL,SELL,null
SYNGENE,SELL,null
CIPLA,SELL,null
GRANULES,SELL,null
DIVISLAB,SELL,null
NAUKRI,SELL,null
AAVAS,SELL,null
BOMDYEING,SELL,33620
VIJIFIN,SELL,null
AARTIIND,SELL,41
CIGNITITEC,SELL,null
HEXAWARE,SELL,null
SURANASOL,SELL,null
VERTOZ,SELL,null
BERGEPAINT,SELL,null
DIXON,SELL,null
IBVENTURES,SELL,null
STAR,SELL,null
LALPATHLAB,SELL,null
STRTECH,SELL,null
BHARTIARTL,SELL,null
TIINDIA,SELL,null
CREDITACC,SELL,null
BRITANNIA,SELL,24
SUNFLAG,SELL,null
GANECOS,SELL,null
JKLAKSHMI,SELL,43352
GRASIM,SELL,null
ABFRL,SELL,null
RADIOCITY,SELL,null
TRIDENT,SELL,9825000
USHAMART,SELL,null
WIPRO,SELL,null
HDFC,SELL,0
ADANIPORTS,SELL,4145400
QUICKHEAL,SELL,null
ALKEM,SELL,null
LGBBROSLTD,SELL,null
TAKE,SELL,null
PRAJIND,SELL,null
AJANTPHARM,SELL,null
SONAMCLOCK,SELL,null
ICICIGI,SELL,null
HCLTECH,SELL,null
COMPUSOFT,SELL,null
PIIND,SELL,null
TEAMLEASE,SELL,null
BALAXI,SELL,null
BIOCON,SELL,null
JKTYRE,SELL,334379
SUMICHEM,SELL,null
TECHM,SELL,null
MPHASIS,SELL,null
SBILIFE,SELL,null
IEX,SELL,null
LTI,SELL,null
AARTIDRUGS,SELL,333068
IIFL,SELL,5724940
TCNSBRANDS,SELL,null
TCS,SELL,0
AUBANK,SELL,0
HDFCBANK,SELL,null
AXISBANK,SELL,null
MUTHOOTFIN,SELL,null
MITTAL,SELL,null
JSWSTEEL,SELL,3935526
SAFARI,SELL,null
KNRCON,SELL,null
SYMPHONY,SELL,0
PERSISTENT,SELL,null
KOTAKBANK,SELL,null
FEDERALBNK,SELL,null
DALBHARAT,SELL,null
ESCORTS,SELL,null
VMART,SELL,null
RBLBANK,SELL,null
WHEELS,SELL,1099960
M&M,SELL,null
HDFCLIFE,SELL,null
BANDHANBNK,SELL,null
DMART,SELL,null
KCP,SELL,null
HDFCAMC,SELL,null
MOTILALOFS,SELL,null
YESBANK,SELL,null
CKPLEISURE,SELL,null
COROMANDEL,SELL,null
INDIAMART,SELL,null
BEARDSELL,SELL,null
ASTRAL,SELL,null
